# q	u	v
0.000000e+00	0.000000e+00	0.000000e+00
# wavelength[m]	F[W/m^2/m]
2.6300e-07 5.5876e+02
4.4800e-07 6.9306e+02
5.5000e-07 7.0744e+02
6.4600e-07 7.2182e+02
8.5700e-07 6.3505e+02
1.0000e-06 5.6686e+02
1.3300e-06 4.8676e+02
1.5900e-06 4.0707e+02
1.8600e-06 2.8720e+02
2.1600e-06 1.8046e+02
2.2000e-06 1.4134e+02
2.4800e-06 1.0222e+02
2.8200e-06 7.1908e+01
3.1800e-06 5.3763e+01
3.5700e-06 6.3214e+01
3.9900e-06 2.4206e+01
4.4300e-06 1.8474e+01
4.9100e-06 1.4404e+01
5.4200e-06 1.1197e+01
5.9700e-06 1.4318e+01
6.5500e-06 1.6937e+01
7.1800e-06 1.2685e+01
7.8400e-06 3.0620e+01
8.5600e-06 1.0109e+01
9.3300e-06 3.4435e+00
1.0100e-05 2.3559e+00
1.1000e-05 5.0397e+00
1.2000e-05 8.8554e+00
1.3000e-05 5.2482e+00
1.4000e-05 1.7038e+00
1.5200e-05 1.0471e+00
1.6400e-05 1.7017e+00
1.7700e-05 1.4697e+00
1.9100e-05 2.6202e+00
2.0600e-05 2.2056e+00
2.2300e-05 3.0169e+00
2.4000e-05 1.9514e+00
2.5800e-05 1.1849e+00
2.7800e-05 1.1204e+00
2.9900e-05 1.0935e+00
3.2200e-05 1.0512e+00
3.4600e-05 1.0642e+00
3.7200e-05 1.0747e+00
4.0000e-05 1.1422e+00
4.2900e-05 1.2338e+00
4.6100e-05 1.4151e+00
4.9500e-05 1.6990e+00
5.3100e-05 1.9907e+00
5.7000e-05 2.3337e+00
6.1200e-05 2.7705e+00
6.5600e-05 3.2642e+00
7.0400e-05 3.7390e+00
7.5400e-05 4.1506e+00
8.0900e-05 4.5276e+00
8.6700e-05 4.8048e+00
9.3000e-05 4.9701e+00
9.9600e-05 5.0420e+00
1.0700e-04 5.0051e+00
1.1400e-04 4.8472e+00
1.2300e-04 4.5591e+00
1.3100e-04 4.2779e+00
1.4100e-04 3.8461e+00
1.5100e-04 3.3739e+00
1.6100e-04 2.9575e+00
1.7300e-04 2.4032e+00
1.8500e-04 1.9813e+00
1.9800e-04 1.6314e+00
2.1200e-04 1.3078e+00
2.2700e-04 1.0707e+00
2.4300e-04 8.0666e-01
2.6100e-04 6.2055e-01
2.7900e-04 4.8892e-01
2.9900e-04 3.7610e-01
3.2000e-04 2.8255e-01
3.4200e-04 1.9728e-01
3.6700e-04 1.4714e-01
3.9200e-04 1.2292e-01
4.2000e-04 1.0228e-01
4.5000e-04 9.3691e-02
4.8100e-04 9.3271e-02
5.1500e-04 1.0459e-01
5.5100e-04 1.2357e-01
5.9000e-04 1.5163e-01
6.3200e-04 1.8761e-01
6.7600e-04 2.2557e-01
7.2300e-04 2.6939e-01
7.7400e-04 3.0121e-01
8.2900e-04 3.3199e-01
8.5000e-04 3.4621e-01
8.8700e-04 3.6043e-01
9.4900e-04 3.7942e-01
1.0000e-03 3.8517e-01
1.0900e-03 3.8128e-01
1.1600e-03 3.7175e-01
1.2400e-03 3.5233e-01
1.3000e-03 3.4117e-01
1.3300e-03 3.3000e-01
1.4300e-03 3.0000e-01
1.5300e-03 2.7600e-01
1.6300e-03 2.5500e-01
1.7500e-03 2.3100e-01
1.8700e-03 2.0980e-01
2.0000e-03 1.8800e-01
3.0000e-03 7.2620e-02
